ISO3,Countries and areas,Region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
SDN,Sudan,SSA,Least Developed,32.0,36.0,29.0,39.0,17.0,46.0,42.0,40.0,22.0,9.0
SUR,Suriname,LAC,Less Developed,24.0,18.0,30.0,35.0,20.0,42.0,29.0,21.0,16.0,10.0
TJK,Tajikistan,ECA,Less Developed,28.0,37.0,18.0,28.0,27.0,30.0,25.0,33.0,25.0,25.0
THA,Thailand,EAP,Less Developed,18.0,11.0,25.0,20.0,15.0,33.0,22.0,22.0,11.0,2.0
TLS,Timor-Leste,EAP,Least Developed,17.0,14.0,19.0,19.0,12.0,26.0,23.0,18.0,14.0,6.0
TGO,Togo,SSA,Least Developed,30.0,40.0,20.0,32.0,27.0,38.0,30.0,30.0,29.0,24.0
TON,Tonga,EAP,Less Developed,39.0,29.0,50.0,40.0,35.0,48.0,48.0,36.0,37.0,24.0
TTO,Trinidad and Tobago,LAC,Less Developed,10.0,8.0,12.0,10.0,10.0,18.0,9.0,11.0,6.0,7.0
TUN,Tunisia,MENA,Less Developed,27.0,21.0,33.0,41.0,20.0,47.0,36.0,24.0,16.0,8.0
TKM,Turkmenistan,ECA,Less Developed,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0
UGA,Uganda,SSA,Least Developed,61.0,68.0,53.0,62.0,57.0,73.0,66.0,57.0,57.0,54.0
UKR,Ukraine,ECA,More Developed,2.0,1.0,2.0,4.0,0.0,6.0,3.0,0.0,0.0,0.0
TZA,United Republic of Tanzania,SSA,Least Developed,78.0,81.0,74.0,82.0,70.0,93.0,87.0,81.0,72.0,63.0
URY,Uruguay,LAC,Less Developed,21.0,15.0,27.0,27.0,21.0,41.0,8.0,28.0,19.0,17.0
VNM,Viet Nam,EAP,Less Developed,24.0,22.0,26.0,27.0,18.0,49.0,27.0,22.0,12.0,6.0
YEM,Yemen,MENA,Least Developed,41.0,54.0,28.0,48.0,26.0,66.0,51.0,41.0,33.0,21.0
ZMB,Zambia,SSA,Least Developed,52.0,61.0,44.0,58.0,46.0,73.0,59.0,51.0,50.0,36.0
ZWE,Zimbabwe,SSA,Less Developed,51.0,54.0,48.0,55.0,43.0,63.0,54.0,52.0,49.0,38.0
